"Country","Population","Abbreviation"
"Hungary",9905596,"HUN"
"Iceland",306694,"ISL"
"India",1166079220,"IND"
"Indonesia",240271522,"IDN"
"Iran",66429284,"IRN"
"Iraq",31129225,"IRQ"
"Ireland",4203200,"IRL"
"Israel",7233701,"ISR"
"Italy",58126212,"ITA"
"Ivory Coast",20617068,"CIV"
"Jamaica",2825928,"JAM"
"Japan",127078679,"JPN"
"Jordan",6342948,"JOR"
"Kazakhstan",15399437,"KAZ"
"Kenya",39002772,"KEN"
"Kosovo",1804838,"SRB"
"Kuwait",2691158,"KWT"
"Kyrgyzstan",5431747,"KGZ"
"Laos",6834942,"LAO"
"Latvia",2231503,"LVA"
"Lebanon",4017095,"LBN"
"Liberia",3441790,"LBR"
"Libya",6310434,"LBY"
"Liechtenstein",34761,"LIE"
"Lithuania",3555179,"LTU"
"Luxembourg",491775,"LUX"
"Macedonia",2066718,"MKD"
"Madagascar",20653556,"MDG"
"Malawi",14268711,"MWI"
"Malaysia",25715819,"MYS"
"Maldives",396334,"MDV"
"Mali",12666987,"MLI"
"Malta",405165,"MLT"
"Mauritania",3129486,"MRT"
"Mauritius",1284264,"MUS"
"Mexico",111211789,"MEX"
"Moldova",4320748,"MDA"
"Monaco",32965,"MCO"
"Mongolia",3041142,"MNG"
"Montenegro",672180,"MNE"
"Morocco",34859364,"MAR"
"Mozambique",21669278,"MOZ"
"Myanmar",48137741,"MMR"
"Namibia",2108665,"NAM"
"Nepal",28563377,"NPL"
"Netherlands",16737132,"NLD"
"New Zealand",4213418,"NZL"
"Nicaragua",5891199,"NIC"
"Niger",15306252,"NER"
"Nigeria",149229090,"NGA"
"Norway",4676305,"NOR"
"Oman",3418085,"OMN"
"Pakistan",176242949,"PAK"
"Panama",3360474,"PAN"
"Papua New Guinea",5882103,"PNG"
"Paraguay",6995655,"PRY"
"Peru",29546963,"PER"
"Philippines",97976603,"PHL"
"Poland",38482919,"POL"
"Portugal",10204765,"PRT"
"Qatar",833285,"QAT"
"Republic of Congo",4012809,"COG"
"Romania",22215421,"ROU"
"Russia",140041247,"RUS"
"Rwanda",10473282,"RWA"
"Saint Kitts and Nevis",40131,"KNA"
"Saint Lucia",160267,"LCA"
"Saint Vincent and the Grenadines",104574,"VCT"
"San Marino",30324,"SMR"
"Sao Tome and Principe",212679,"STP"
"Saudi Arabia",28686633,"SAU"
"Senegal",13711597,"SEN"
"Serbia",5332944,"SRB"
"Seychelles",87476,"SYC"
"Sierra Leone",6440053,"SLE"
"Singapore",4657542,"SGP"
"Slovakia",5463046,"SVK"
"Slovenia",2005692,"SVN"
"Somalia",9832017,"SOM"
"South Africa",49052489,"ZAF"
"South Korea",48508972,"KOR"
"South Sudan",10625176,"SSD"
"Spain",40525002,"ESP"
"Sri Lanka",21324791,"LKA"
"Sudan",25946220,"SDN"
"Suriname",481267,"SUR"
"Swaziland",1123913,"SWZ"
"Sweden",9059651,"SWE"
"Switzerland",7604467,"CHE"
"Syria",20178485,"SYR"
"Taiwan",22974347,"TWN"
"Tanzania",42118532,"TZA"
"Thailand",65905410,"THA"
"The Bahamas",309156,"BHS"
"Togo",6019877,"TGO"
"Trinidad and Tobago",1310000,"TTO"
"Tunisia",10486339,"TUN"
"Turkey",76805524,"TUR"
"Uganda",32369558,"UGA"
"Ukraine",45700395,"UKR"
"United Arab Emirates",4798491,"ARE"
"United States of America",318297903,"USA"
"Uruguay",3494382,"URY"
"Uzbekistan",27606007,"UZB"
"Venezuela",26814843,"VEN"
"Vietnam",86967524,"VNM"
"West Bank",4119083,"PSE"
"Yemen",23822783,"YEM"
"Zambia",11862740,"ZMB"
"Zimbabwe",12619600,"ZWE"
