"","sovereignt","sov_a3","admin","adm0_a3","geounit","gu_a3","subunit","su_a3","name","name_long","brk_a3","brk_name","formal_en","name_sort","iso_a3","adm0_a3_is","adm0_a3_us","continent","region_un","subregion","region_wb"
"180","Oman","OMN","Oman","OMN","Oman","OMN","Oman","OMN","Oman","Oman","OMN","Oman","Sultanate of Oman","Oman","OMN","OMN","OMN","Asia","Asia","Western Asia","Middle East & North Africa"
"181","Pakistan","PAK","Pakistan","PAK","Pakistan","PAK","Pakistan","PAK","Pakistan","Pakistan","PAK","Pakistan","Islamic Republic of Pakistan","Pakistan","PAK","PAK","PAK","Asia","Asia","Southern Asia","South Asia"
"182","Panama","PAN","Panama","PAN","Panama","PAN","Panama","PAN","Panama","Panama","PAN","Panama","Republic of Panama","Panama","PAN","PAN","PAN","North America","Americas","Central America","Latin America & Caribbean"
"183","Portugal","PRT","Portugal","PRT","Azores","PAZ","Azores","PAZ","Azores","Azores","PAZ","Azores",NA,"Azores",NA,NA,"PRT","Seven seas (open ocean)","Europe","Southern Europe","Europe & Central Asia"
"184","United Kingdom","GB1","Pitcairn Islands","PCN","Pitcairn Islands","PCN","Pitcairn Islands","PCN","Pitcairn Is.","Pitcairn Islands","PCN","Pitcairn Is.","Pitcairn, Henderson, Ducie and Oeno Islands","Pitcairn Islands","PCN","PCN","PCN","Oceania","Oceania","Polynesia","East Asia & Pacific"
"185","Peru","PER","Peru","PER","Peru","PER","Peru","PER","Peru","Peru","PER","Peru","Republic of Peru","Peru","PER","PER","PER","South America","Americas","South America","Latin America & Caribbean"
"186","Philippines","PHL","Philippines","PHL","Philippines","PHL","Philippines","PHL","Philippines","Philippines","PHL","Philippines","Republic of the Philippines","Philippines","PHL","PHL","PHL","Asia","Asia","South-Eastern Asia","East Asia & Pacific"
"187","Palau","PLW","Palau","PLW","Palau","PLW","Palau","PLW","Palau","Palau","PLW","Palau","Republic of Palau","Palau","PLW","PLW","PLW","Oceania","Oceania","Micronesia","East Asia & Pacific"
"188","Portugal","PRT","Portugal","PRT","Madeira","PMD","Madeira","PMD","Madeira","Madeira","PMD","Madeira",NA,"Madeira",NA,NA,"PRT","Africa","Europe","Southern Europe","Europe & Central Asia"
"189","Papua New Guinea","PNG","Papua New Guinea","PNG","Bougainville","PNB","Bougainville","PNB","Bougainville","Bougainville","PNB","Bougainville","Autonomous Region of Bougainville","Bougainville",NA,"PNG","PNG","Oceania","Oceania","Melanesia","East Asia & Pacific"
"190","Papua New Guinea","PNG","Papua New Guinea","PNG","Papua New Guinea","PNX","Papua New Guinea","PNX","Papua New Guinea","Papua New Guinea","PNX","Papua New Guinea","Papua New Guinea","Papua New Guinea",NA,"PNG","PNG","Oceania","Oceania","Melanesia","East Asia & Pacific"
"191","Poland","POL","Poland","POL","Poland","POL","Poland","POL","Poland","Poland","POL","Poland","Republic of Poland","Poland","POL","POL","POL","Europe","Europe","Eastern Europe","Europe & Central Asia"
"192","United States of America","US1","Puerto Rico","PRI","Puerto Rico","PRI","Puerto Rico","PRI","Puerto Rico","Puerto Rico","PRI","Puerto Rico","Commonwealth of Puerto Rico","Puerto Rico","PRI","PRI","PRI","North America","Americas","Caribbean","Latin America & Caribbean"
"193","North Korea","PRK","North Korea","PRK","North Korea","PRK","North Korea","PRK","Dem. Rep. Korea","Dem. Rep. Korea","PRK","Dem. Rep. Korea","Democratic People's Republic of Korea","Korea, Dem. Rep.","PRK","PRK","PRK","Asia","Asia","Eastern Asia","East Asia & Pacific"
"194","Portugal","PRT","Portugal","PRT","Portugal","PRX","Portugal","PRX","Portugal","Portugal","PRX","Portugal","Portuguese Republic","Portugal",NA,"PRT","PRT","Europe","Europe","Southern Europe","Europe & Central Asia"
"195","Paraguay","PRY","Paraguay","PRY","Paraguay","PRY","Paraguay","PRY","Paraguay","Paraguay","PRY","Paraguay","Republic of Paraguay","Paraguay","PRY","PRY","PRY","South America","Americas","South America","Latin America & Caribbean"
"196","France","FR1","French Polynesia","PYF","French Polynesia","PYF","French Polynesia","PYF","Fr. Polynesia","French Polynesia","PYF","Fr. Polynesia","French Polynesia","French Polynesia","PYF","PYF","PYF","Oceania","Oceania","Polynesia","East Asia & Pacific"
"197","Qatar","QAT","Qatar","QAT","Qatar","QAT","Qatar","QAT","Qatar","Qatar","QAT","Qatar","State of Qatar","Qatar","QAT","QAT","QAT","Asia","Asia","Western Asia","Middle East & North Africa"
"198","France","FR1","France","FRA","Reunion","REU","Reunion","REU","Reunion","Reunion","REU","Reunion","Department of Reunion","Reunion","REU","REU","FRA","Seven seas (open ocean)","Africa","Eastern Africa","Sub-Saharan Africa"
"199","Romania","ROU","Romania","ROU","Romania","ROU","Romania","ROU","Romania","Romania","ROU","Romania","Romania","Romania","ROU","ROU","ROU","Europe","Europe","Eastern Europe","Europe & Central Asia"
"200","Russia","RUS","Russia","RUS","Russia","RUS","Russia","RUS","Russia","Russian Federation","RUS","Russia","Russian Federation","Russian Federation","RUS","RUS","RUS","Europe","Europe","Eastern Europe","Europe & Central Asia"
"201","Rwanda","RWA","Rwanda","RWA","Rwanda","RWA","Rwanda","RWA","Rwanda","Rwanda","RWA","Rwanda","Republic of Rwanda","Rwanda","RWA","RWA","RWA","Africa","Africa","Eastern Africa","Sub-Saharan Africa"
"202","Western Sahara","SAH","Western Sahara","SAH","Western Sahara","SAH","Western Sahara","SAH","W. Sahara","Western Sahara","B28","W. Sahara","Sahrawi Arab Democratic Republic","Western Sahara","ESH","MAR","SAH","Africa","Africa","Northern Africa","Middle East & North Africa"
"203","Saudi Arabia","SAU","Saudi Arabia","SAU","Saudi Arabia","SAU","Saudi Arabia","SAU","Saudi Arabia","Saudi Arabia","SAU","Saudi Arabia","Kingdom of Saudi Arabia","Saudi Arabia","SAU","SAU","SAU","Asia","Asia","Western Asia","Middle East & North Africa"
"204","United Kingdom","GB1","United Kingdom","GBR","Scotland","SCT","Scotland","SCT","Scotland","Scotland","SCT","Scotland",NA,"Scotland",NA,NA,"GBR","Europe","Europe","Northern Europe","Europe & Central Asia"
"205","Sudan","SDN","Sudan","SDN","Sudan","SDN","Sudan","SDN","Sudan","Sudan","SDN","Sudan","Republic of the Sudan","Sudan","SDN","SDN","SDN","Africa","Africa","Northern Africa","Sub-Saharan Africa"
"206","South Sudan","SDS","South Sudan","SDS","South Sudan","SDS","South Sudan","SDS","S. Sudan","South Sudan","SDS","S. Sudan","Republic of South Sudan","South Sudan","SSD","SSD","SDS","Africa","Africa","Eastern Africa","Sub-Saharan Africa"
"207","Senegal","SEN","Senegal","SEN","Senegal","SEN","Senegal","SEN","Senegal","Senegal","SEN","Senegal","Republic of Senegal","Senegal","SEN","SEN","SEN","Africa","Africa","Western Africa","Sub-Saharan Africa"
"208","Singapore","SGP","Singapore","SGP","Singapore","SGP","Singapore","SGP","Singapore","Singapore","SGP","Singapore","Republic of Singapore","Singapore","SGP","SGP","SGP","Asia","Asia","South-Eastern Asia","East Asia & Pacific"
"209","United Kingdom","GB1","South Georgia and South Sandwich Islands","SGS","South Georgia and South Sandwich Islands","SGS","South Georgia and South Sandwich Islands","SGS","S. Geo. and S. Sandw. Is.","South Georgia and South Sandwich Islands","SGS","S. Geo. and S. Sandw. Is.","South Georgia and South Sandwich Islands","South Georgia and the Islands","SGS","SGS","SGS","Seven seas (open ocean)","Seven seas (open ocean)","Seven seas (open ocean)","Antarctica"
"210","United Kingdom","GB1","Saint Helena","SHN","Saint Helena","SHN","Saint Helena","SHN","Saint Helena","Saint Helena","SHN","Saint Helena",NA,"St. Helena","SHN","SHN","SHN","Seven seas (open ocean)","Africa","Western Africa","Sub-Saharan Africa"
"211","Solomon Islands","SLB","Solomon Islands","SLB","Solomon Islands","SLB","Solomon Islands","SLB","Solomon Is.","Solomon Islands","SLB","Solomon Is.",NA,"Solomon Islands","SLB","SLB","SLB","Oceania","Oceania","Melanesia","East Asia & Pacific"
"212","Sierra Leone","SLE","Sierra Leone","SLE","Sierra Leone","SLE","Sierra Leone","SLE","Sierra Leone","Sierra Leone","SLE","Sierra Leone","Republic of Sierra Leone","Sierra Leone","SLE","SLE","SLE","Africa","Africa","Western Africa","Sub-Saharan Africa"
"213","El Salvador","SLV","El Salvador","SLV","El Salvador","SLV","El Salvador","SLV","El Salvador","El Salvador","SLV","El Salvador","Republic of El Salvador","El Salvador","SLV","SLV","SLV","North America","Americas","Central America","Latin America & Caribbean"
"214","San Marino","SMR","San Marino","SMR","San Marino","SMR","San Marino","SMR","San Marino","San Marino","SMR","San Marino","Republic of San Marino","San Marino","SMR","SMR","SMR","Europe","Europe","Southern Europe","Europe & Central Asia"
"215","Somaliland","SOL","Somaliland","SOL","Somaliland","SOL","Somaliland","SOL","Somaliland","Somaliland","B30","Somaliland","Republic of Somaliland","Somaliland",NA,"SOM","SOM","Africa","Africa","Eastern Africa","Sub-Saharan Africa"
"216","Somalia","SOM","Somalia","SOM","Somalia","SOM","Somalia","SOM","Somalia","Somalia","SOM","Somalia","Federal Republic of Somalia","Somalia","SOM","SOM","SOM","Africa","Africa","Eastern Africa","Sub-Saharan Africa"
"217","France","FR1","Saint Pierre and Miquelon","SPM","Saint Pierre and Miquelon","SPM","Saint Pierre and Miquelon","SPM","St. Pierre and Miquelon","Saint Pierre and Miquelon","SPM","St. Pierre and Miquelon","Saint Pierre and Miquelon","St. Pierre and Miquelon","SPM","SPM","SPM","North America","Americas","Northern America","North America"
"218","Republic of Serbia","SRB","Republic of Serbia","SRB","Serbia","SRS","Serbia","SRS","Serbia","Serbia","SRS","Serbia",NA,"Serbia",NA,"SRB","SRB","Europe","Europe","Southern Europe","Europe & Central Asia"
"219","Republic of Serbia","SRB","Republic of Serbia","SRB","Vojvodina","SRV","Vojvodina","SRV","Vojvodina","Vojvodina","SRV","Vojvodina",NA,"Vojvodina",NA,"SRB","SRB","Europe","Europe","Southern Europe","Europe & Central Asia"
"220","Sao Tome and Principe","STP","Sao Tome and Principe","STP","Sao Tome and Principe","STP","Sao Tome and Principe","STP","São Tomé and Principe","São Tomé and Principe","STP","Sao Tome and Principe","Democratic Republic of São Tomé and Principe","São Tomé and Principe","STP","STP","STP","Africa","Africa","Middle Africa","Sub-Saharan Africa"
