"","County.Name","State","stateFIPS"
"184","Sharp County","AR",5
"185","Stone County","AR",5
"186","Union County","AR",5
"187","Van Buren County","AR",5
"188","Washington County","AR",5
"189","White County","AR",5
"190","Woodruff County","AR",5
"191","Yell County","AR",5
"192","Statewide Unallocated","CA",6
"193","Grand Princess Cruise Ship","CA",6
"194","Alameda County","CA",6
"195","Alpine County","CA",6
"196","Amador County","CA",6
"197","Butte County","CA",6
"198","Calaveras County","CA",6
"199","Colusa County","CA",6
"200","Contra Costa County","CA",6
"201","Del Norte County","CA",6
"202","El Dorado County","CA",6
"203","Fresno County","CA",6
"204","Glenn County","CA",6
"205","Humboldt County","CA",6
"206","Imperial County","CA",6
"207","Inyo County","CA",6
"208","Kern County","CA",6
"209","Kings County","CA",6
"210","Lake County","CA",6
"211","Lassen County","CA",6
"212","Los Angeles County","CA",6
"213","Madera County","CA",6
"214","Marin County","CA",6
"215","Mariposa County","CA",6
"216","Mendocino County","CA",6
"217","Merced County","CA",6
"218","Modoc County","CA",6
"219","Mono County","CA",6
"220","Monterey County","CA",6
"221","Napa County","CA",6
"222","Nevada County","CA",6
"223","Orange County","CA",6
"224","Placer County","CA",6
"225","Plumas County","CA",6
"226","Riverside County","CA",6
"227","Sacramento County","CA",6
"228","San Benito County","CA",6
"229","San Bernardino County","CA",6
"230","San Diego County","CA",6
"231","San Francisco County","CA",6
"232","San Joaquin County","CA",6
"233","San Luis Obispo County","CA",6
"234","San Mateo County","CA",6
"235","Santa Barbara County","CA",6
"236","Santa Clara County","CA",6
"237","Santa Cruz County","CA",6
"238","Shasta County","CA",6
"239","Sierra County","CA",6
"240","Siskiyou County","CA",6
"241","Solano County","CA",6
"242","Sonoma County","CA",6
"243","Stanislaus County","CA",6
"244","Sutter County","CA",6
"245","Tehama County","CA",6
"246","Trinity County","CA",6
"247","Tulare County","CA",6
"248","Tuolumne County","CA",6
"249","Ventura County","CA",6
"250","Yolo County","CA",6
"251","Yuba County","CA",6
"252","Statewide Unallocated","CO",8
"253","Adams County","CO",8
"254","Alamosa County","CO",8
"255","Arapahoe County","CO",8
"256","Archuleta County","CO",8
"257","Baca County","CO",8
"258","Bent County","CO",8
"259","Boulder County","CO",8
"260","Broomfield County and City","CO",8
"261","Chaffee County","CO",8
"262","Cheyenne County","CO",8
"263","Clear Creek County","CO",8
"264","Conejos County","CO",8
"265","Costilla County","CO",8
"266","Crowley County","CO",8
"267","Custer County","CO",8
"268","Delta County","CO",8
"269","Denver County","CO",8
"270","Dolores County","CO",8
"271","Douglas County","CO",8
"272","Eagle County","CO",8
"273","Elbert County","CO",8
"274","El Paso County","CO",8
"275","Fremont County","CO",8
"276","Garfield County","CO",8
"277","Gilpin County","CO",8
"278","Grand County","CO",8
"279","Gunnison County","CO",8
"280","Hinsdale County","CO",8
"281","Huerfano County","CO",8
"282","Jackson County","CO",8
"283","Jefferson County","CO",8
"284","Kiowa County","CO",8
"285","Kit Carson County","CO",8
"286","Lake County","CO",8
"287","La Plata County","CO",8
"288","Larimer County","CO",8
"289","Las Animas County","CO",8
"290","Lincoln County","CO",8
"291","Logan County","CO",8
"292","Mesa County","CO",8
"293","Mineral County","CO",8
"294","Moffat County","CO",8
"295","Montezuma County","CO",8
"296","Montrose County","CO",8
"297","Morgan County","CO",8
"298","Otero County","CO",8
"299","Ouray County","CO",8
"300","Park County","CO",8
"301","Phillips County","CO",8
"302","Pitkin County","CO",8
"303","Prowers County","CO",8
"304","Pueblo County","CO",8
"305","Rio Blanco County","CO",8
"306","Rio Grande County","CO",8
"307","Routt County","CO",8
"308","Saguache County","CO",8
"309","San Juan County","CO",8
"310","San Miguel County","CO",8
"311","Sedgwick County","CO",8
"312","Summit County","CO",8
"313","Teller County","CO",8
"314","Washington County","CO",8
"315","Weld County","CO",8
"316","Yuma County","CO",8
"317","Statewide Unallocated","CT",9
"318","Fairfield County","CT",9
"319","Hartford County","CT",9
"320","Litchfield County","CT",9
"321","Middlesex County","CT",9
"322","New Haven County","CT",9
"323","New London County","CT",9
"324","Tolland County","CT",9
"325","Windham County","CT",9
"326","Statewide Unallocated","DE",10
"327","Kent County","DE",10
"328","New Castle County","DE",10
"329","Sussex County","DE",10
"330","Washington","DC",11
"331","Statewide Unallocated","FL",12
"332","Alachua County","FL",12
"333","Baker County","FL",12
"334","Bay County","FL",12
"335","Bradford County","FL",12
"336","Brevard County","FL",12
"337","Broward County","FL",12
"338","Calhoun County","FL",12
"339","Charlotte County","FL",12
"340","Citrus County","FL",12
"341","Clay County","FL",12
"342","Collier County","FL",12
"343","Columbia County","FL",12
"344","DeSoto County","FL",12
"345","Dixie County","FL",12
"346","Duval County","FL",12
"347","Escambia County","FL",12
"348","Flagler County","FL",12
"349","Franklin County","FL",12
"350","Gadsden County","FL",12
"351","Gilchrist County","FL",12
"352","Glades County","FL",12
"353","Gulf County","FL",12
"354","Hamilton County","FL",12
"355","Hardee County","FL",12
"356","Hendry County","FL",12
"357","Hernando County","FL",12
"358","Highlands County","FL",12
"359","Hillsborough County","FL",12
"360","Holmes County","FL",12
"361","Indian River County","FL",12
"362","Jackson County","FL",12
"363","Jefferson County","FL",12
"364","Lafayette County","FL",12
"365","Lake County","FL",12
"366","Lee County","FL",12
"367","Leon County","FL",12
"368","Levy County","FL",12
"369","Liberty County","FL",12
"370","Madison County","FL",12
"371","Manatee County","FL",12
"372","Marion County","FL",12
"373","Martin County","FL",12
"374","Miami-Dade County","FL",12
"375","Monroe County","FL",12
"376","Nassau County","FL",12
"377","Okaloosa County","FL",12
"378","Okeechobee County","FL",12
"379","Orange County","FL",12
"380","Osceola County","FL",12
"381","Palm Beach County","FL",12
"382","Pasco County","FL",12
"383","Pinellas County","FL",12
"384","Polk County","FL",12
"385","Putnam County","FL",12
"386","St. Johns County","FL",12
"387","St. Lucie County","FL",12
"388","Santa Rosa County","FL",12
"389","Sarasota County","FL",12
"390","Seminole County","FL",12
"391","Sumter County","FL",12
"392","Suwannee County","FL",12
"393","Taylor County","FL",12
"394","Union County","FL",12
"395","Volusia County","FL",12
"396","Wakulla County","FL",12
"397","Walton County","FL",12
"398","Washington County","FL",12
"399","Statewide Unallocated","GA",13
"400","Appling County","GA",13
"401","Atkinson County","GA",13
"402","Bacon County","GA",13
"403","Baker County","GA",13
"404","Baldwin County","GA",13
"405","Banks County","GA",13
"406","Barrow County","GA",13
"407","Bartow County","GA",13
"408","Ben Hill County","GA",13
"409","Berrien County","GA",13
"410","Bibb County","GA",13
"411","Bleckley County","GA",13
"412","Brantley County","GA",13
"413","Brooks County","GA",13
"414","Bryan County","GA",13
"415","Bulloch County","GA",13
"416","Burke County","GA",13
"417","Butts County","GA",13
"418","Calhoun County","GA",13
"419","Camden County","GA",13
"420","Candler County","GA",13
"421","Carroll County","GA",13
"422","Catoosa County","GA",13
"423","Charlton County","GA",13
"424","Chatham County","GA",13
"425","Chattahoochee County","GA",13
"426","Chattooga County","GA",13
"427","Cherokee County","GA",13
"428","Clarke County","GA",13
"429","Clay County","GA",13
"430","Clayton County","GA",13
"431","Clinch County","GA",13
"432","Cobb County","GA",13
"433","Coffee County","GA",13
"434","Colquitt County","GA",13
"435","Columbia County","GA",13
"436","Cook County","GA",13
"437","Coweta County","GA",13
"438","Crawford County","GA",13
"439","Crisp County","GA",13
"440","Dade County","GA",13
"441","Dawson County","GA",13
"442","Decatur County","GA",13
"443","DeKalb County","GA",13
"444","Dodge County","GA",13
"445","Dooly County","GA",13
"446","Dougherty County","GA",13
"447","Douglas County","GA",13
"448","Early County","GA",13
"449","Echols County","GA",13
"450","Effingham County","GA",13
"451","Elbert County","GA",13
"452","Emanuel County","GA",13
"453","Evans County","GA",13
"454","Fannin County","GA",13
"455","Fayette County","GA",13
"456","Floyd County","GA",13
"457","Forsyth County","GA",13
"458","Franklin County","GA",13
"459","Fulton County","GA",13
"460","Gilmer County","GA",13
"461","Glascock County","GA",13
"462","Glynn County","GA",13
"463","Gordon County","GA",13
"464","Grady County","GA",13
"465","Greene County","GA",13
"466","Gwinnett County","GA",13
"467","Habersham County","GA",13
"468","Hall County","GA",13
"469","Hancock County","GA",13
"470","Haralson County","GA",13
"471","Harris County","GA",13
"472","Hart County","GA",13
"473","Heard County","GA",13
"474","Henry County","GA",13
"475","Houston County","GA",13
"476","Irwin County","GA",13
"477","Jackson County","GA",13
"478","Jasper County","GA",13
"479","Jeff Davis County","GA",13
"480","Jefferson County","GA",13
"481","Jenkins County","GA",13
"482","Johnson County","GA",13
"483","Jones County","GA",13
"484","Lamar County","GA",13
"485","Lanier County","GA",13
"486","Laurens County","GA",13
"487","Lee County","GA",13
"488","Liberty County","GA",13
"489","Lincoln County","GA",13
"490","Long County","GA",13
"491","Lowndes County","GA",13
"492","Lumpkin County","GA",13
"493","McDuffie County","GA",13
"494","McIntosh County","GA",13
"495","Macon County","GA",13
"496","Madison County","GA",13
"497","Marion County","GA",13
"498","Meriwether County","GA",13
"499","Miller County","GA",13
"500","Mitchell County","GA",13
"501","Monroe County","GA",13
"502","Montgomery County","GA",13
"503","Morgan County","GA",13
"504","Murray County","GA",13
"505","Muscogee County","GA",13
"506","Newton County","GA",13
"507","Oconee County","GA",13
"508","Oglethorpe County","GA",13
"509","Paulding County","GA",13
"510","Peach County","GA",13
"511","Pickens County","GA",13
"512","Pierce County","GA",13
"513","Pike County","GA",13
"514","Polk County","GA",13
"515","Pulaski County","GA",13
"516","Putnam County","GA",13
"517","Quitman County","GA",13
"518","Rabun County","GA",13
"519","Randolph County","GA",13
"520","Richmond County","GA",13
"521","Rockdale County","GA",13
"522","Schley County","GA",13
"523","Screven County","GA",13
"524","Seminole County","GA",13
"525","Spalding County","GA",13
"526","Stephens County","GA",13
"527","Stewart County","GA",13
"528","Sumter County","GA",13
"529","Talbot County","GA",13
"530","Taliaferro County","GA",13
"531","Tattnall County","GA",13
"532","Taylor County","GA",13
"533","Telfair County","GA",13
"534","Terrell County","GA",13
"535","Thomas County","GA",13
"536","Tift County","GA",13
"537","Toombs County","GA",13
"538","Towns County","GA",13
"539","Treutlen County","GA",13
"540","Troup County","GA",13
"541","Turner County","GA",13
"542","Twiggs County","GA",13
"543","Union County","GA",13
"544","Upson County","GA",13
"545","Walker County","GA",13
"546","Walton County","GA",13
"547","Ware County","GA",13
"548","Warren County","GA",13
"549","Washington County","GA",13
"550","Wayne County","GA",13
"551","Webster County","GA",13
"552","Wheeler County","GA",13
"553","White County","GA",13
"554","Whitfield County","GA",13
"555","Wilcox County","GA",13
"556","Wilkes County","GA",13
"557","Wilkinson County","GA",13
"558","Worth County","GA",13
"559","Statewide Unallocated","HI",15
"560","Hawaii County","HI",15
"561","Honolulu County","HI",15
"562","Kalawao County","HI",15
"563","Kauai County","HI",15
"564","Maui County","HI",15
"565","Statewide Unallocated","ID",16
"566","Ada County","ID",16
"567","Adams County","ID",16
"568","Bannock County","ID",16
"569","Bear Lake County","ID",16
"570","Benewah County","ID",16
"571","Bingham County","ID",16
"572","Blaine County","ID",16
"573","Boise County","ID",16
"574","Bonner County","ID",16
"575","Bonneville County","ID",16
"576","Boundary County","ID",16
"577","Butte County","ID",16
"578","Camas County","ID",16
"579","Canyon County","ID",16
"580","Caribou County","ID",16
"581","Cassia County","ID",16
"582","Clark County","ID",16
"583","Clearwater County","ID",16
"584","Custer County","ID",16
"585","Elmore County","ID",16
"586","Franklin County","ID",16
"587","Fremont County","ID",16
"588","Gem County","ID",16
"589","Gooding County","ID",16
"590","Idaho County","ID",16
"591","Jefferson County","ID",16
"592","Jerome County","ID",16
"593","Kootenai County","ID",16
"594","Latah County","ID",16
"595","Lemhi County","ID",16
"596","Lewis County","ID",16
"597","Lincoln County","ID",16
"598","Madison County","ID",16
"599","Minidoka County","ID",16
"600","Nez Perce County","ID",16
"601","Oneida County","ID",16
"602","Owyhee County","ID",16
"603","Payette County","ID",16
"604","Power County","ID",16
"605","Shoshone County","ID",16
"606","Teton County","ID",16
"607","Twin Falls County","ID",16
"608","Valley County","ID",16
"609","Washington County","ID",16
"610","Statewide Unallocated","IL",17
"611","Adams County","IL",17
"612","Alexander County","IL",17
"613","Bond County","IL",17
"614","Boone County","IL",17
"615","Brown County","IL",17
"616","Bureau County","IL",17
"617","Calhoun County","IL",17
"618","Carroll County","IL",17
"619","Cass County","IL",17
"620","Champaign County","IL",17
"621","Christian County","IL",17
"622","Clark County","IL",17
"623","Clay County","IL",17
"624","Clinton County","IL",17
"625","Coles County","IL",17
"626","Cook County","IL",17
"627","Crawford County","IL",17
"628","Cumberland County","IL",17
"629","DeKalb County","IL",17
"630","De Witt County","IL",17
"631","Douglas County","IL",17
"632","DuPage County","IL",17
"633","Edgar County","IL",17
"634","Edwards County","IL",17
"635","Effingham County","IL",17
"636","Fayette County","IL",17
"637","Ford County","IL",17
"638","Franklin County","IL",17
"639","Fulton County","IL",17
"640","Gallatin County","IL",17
"641","Greene County","IL",17
"642","Grundy County","IL",17
"643","Hamilton County","IL",17
"644","Hancock County","IL",17
"645","Hardin County","IL",17
"646","Henderson County","IL",17
"647","Henry County","IL",17
"648","Iroquois County","IL",17
"649","Jackson County","IL",17
"650","Jasper County","IL",17
"651","Jefferson County","IL",17
"652","Jersey County","IL",17
"653","Jo Daviess County","IL",17
"654","Johnson County","IL",17
"655","Kane County","IL",17
"656","Kankakee County","IL",17
"657","Kendall County","IL",17
"658","Knox County","IL",17
"659","Lake County","IL",17
"660","LaSalle County","IL",17
"661","Lawrence County","IL",17
"662","Lee County","IL",17
"663","Livingston County","IL",17
"664","Logan County","IL",17
"665","McDonough County","IL",17
"666","McHenry County","IL",17
"667","McLean County","IL",17
"668","Macon County","IL",17
"669","Macoupin County","IL",17
"670","Madison County","IL",17
"671","Marion County","IL",17
"672","Marshall County","IL",17
"673","Mason County","IL",17
"674","Massac County","IL",17
"675","Menard County","IL",17
"676","Mercer County","IL",17
"677","Monroe County","IL",17
"678","Montgomery County","IL",17
"679","Morgan County","IL",17
"680","Moultrie County","IL",17
"681","Ogle County","IL",17
"682","Peoria County","IL",17
"683","Perry County","IL",17
"684","Piatt County","IL",17
"685","Pike County","IL",17
"686","Pope County","IL",17
"687","Pulaski County","IL",17
"688","Putnam County","IL",17
"689","Randolph County","IL",17
"690","Richland County","IL",17
"691","Rock Island County","IL",17
"692","St. Clair County","IL",17
"693","Saline County","IL",17
"694","Sangamon County","IL",17
"695","Schuyler County","IL",17
"696","Scott County","IL",17
"697","Shelby County","IL",17
"698","Stark County","IL",17
"699","Stephenson County","IL",17
"700","Tazewell County","IL",17
"701","Union County","IL",17
"702","Vermilion County","IL",17
"703","Wabash County","IL",17
"704","Warren County","IL",17
"705","Washington County","IL",17
"706","Wayne County","IL",17
"707","White County","IL",17
"708","Whiteside County","IL",17
"709","Will County","IL",17
"710","Williamson County","IL",17
"711","Winnebago County","IL",17
"712","Woodford County","IL",17
"713","Statewide Unallocated","IN",18
"714","Adams County","IN",18
"715","Allen County","IN",18
"716","Bartholomew County","IN",18
"717","Benton County","IN",18
"718","Blackford County","IN",18
"719","Boone County","IN",18
"720","Brown County","IN",18
"721","Carroll County","IN",18
"722","Cass County","IN",18
"723","Clark County","IN",18
"724","Clay County","IN",18
"725","Clinton County","IN",18
"726","Crawford County","IN",18
"727","Daviess County","IN",18
"728","Dearborn County","IN",18
"729","Decatur County","IN",18
"730","DeKalb County","IN",18
"731","Delaware County","IN",18
"732","Dubois County","IN",18
"733","Elkhart County","IN",18
"734","Fayette County","IN",18
"735","Floyd County","IN",18
"736","Fountain County","IN",18
"737","Franklin County","IN",18
"738","Fulton County","IN",18
"739","Gibson County","IN",18
"740","Grant County","IN",18
"741","Greene County","IN",18
"742","Hamilton County","IN",18
"743","Hancock County","IN",18
"744","Harrison County","IN",18
"745","Hendricks County","IN",18
"746","Henry County","IN",18
"747","Howard County","IN",18
"748","Huntington County","IN",18
"749","Jackson County","IN",18
"750","Jasper County","IN",18
"751","Jay County","IN",18
"752","Jefferson County","IN",18
"753","Jennings County","IN",18
"754","Johnson County","IN",18
"755","Knox County","IN",18
"756","Kosciusko County","IN",18
"757","LaGrange County","IN",18
"758","Lake County","IN",18
"759","LaPorte County","IN",18
"760","Lawrence County","IN",18
"761","Madison County","IN",18
"762","Marion County","IN",18
"763","Marshall County","IN",18
"764","Martin County","IN",18
"765","Miami County","IN",18
"766","Monroe County","IN",18
"767","Montgomery County","IN",18
"768","Morgan County","IN",18
"769","Newton County","IN",18
"770","Noble County","IN",18
"771","Ohio County","IN",18
"772","Orange County","IN",18
"773","Owen County","IN",18
"774","Parke County","IN",18
"775","Perry County","IN",18
"776","Pike County","IN",18
"777","Porter County","IN",18
"778","Posey County","IN",18
"779","Pulaski County","IN",18
"780","Putnam County","IN",18
"781","Randolph County","IN",18
"782","Ripley County","IN",18
"783","Rush County","IN",18
"784","St. Joseph County","IN",18
"785","Scott County","IN",18
"786","Shelby County","IN",18
"787","Spencer County","IN",18
"788","Starke County","IN",18
"789","Steuben County","IN",18
"790","Sullivan County","IN",18
"791","Switzerland County","IN",18
"792","Tippecanoe County","IN",18
"793","Tipton County","IN",18
"794","Union County","IN",18
"795","Vanderburgh County","IN",18
"796","Vermillion County","IN",18
"797","Vigo County","IN",18
"798","Wabash County","IN",18
"799","Warren County","IN",18
"800","Warrick County","IN",18
"801","Washington County","IN",18
"802","Wayne County","IN",18
"803","Wells County","IN",18
"804","White County","IN",18
"805","Whitley County","IN",18
"806","Statewide Unallocated","IA",19
"807","Adair County","IA",19
"808","Adams County","IA",19
"809","Allamakee County","IA",19
"810","Appanoose County","IA",19
"811","Audubon County","IA",19
"812","Benton County","IA",19
"813","Black Hawk County","IA",19
"814","Boone County","IA",19
"815","Bremer County","IA",19
"816","Buchanan County","IA",19
"817","Buena Vista County","IA",19
"818","Butler County","IA",19
"819","Calhoun County","IA",19
"820","Carroll County","IA",19
"821","Cass County","IA",19
"822","Cedar County","IA",19
"823","Cerro Gordo County","IA",19
"824","Cherokee County","IA",19
"825","Chickasaw County","IA",19
"826","Clarke County","IA",19
"827","Clay County","IA",19
"828","Clayton County","IA",19
"829","Clinton County","IA",19
"830","Crawford County","IA",19
"831","Dallas County","IA",19
"832","Davis County","IA",19
"833","Decatur County","IA",19
"834","Delaware County","IA",19
"835","Des Moines County","IA",19
"836","Dickinson County","IA",19
"837","Dubuque County","IA",19
"838","Emmet County","IA",19
"839","Fayette County","IA",19
"840","Floyd County","IA",19
"841","Franklin County","IA",19
"842","Fremont County","IA",19
"843","Greene County","IA",19
"844","Grundy County","IA",19
"845","Guthrie County","IA",19
"846","Hamilton County","IA",19
"847","Hancock County","IA",19
"848","Hardin County","IA",19
"849","Harrison County","IA",19
"850","Henry County","IA",19
"851","Howard County","IA",19
"852","Humboldt County","IA",19
"853","Ida County","IA",19
"854","Iowa County","IA",19
"855","Jackson County","IA",19
"856","Jasper County","IA",19
"857","Jefferson County","IA",19
"858","Johnson County","IA",19
"859","Jones County","IA",19
"860","Keokuk County","IA",19
"861","Kossuth County","IA",19
"862","Lee County","IA",19
"863","Linn County","IA",19
"864","Louisa County","IA",19
"865","Lucas County","IA",19
"866","Lyon County","IA",19
"867","Madison County","IA",19
"868","Mahaska County","IA",19
"869","Marion County","IA",19
"870","Marshall County","IA",19
"871","Mills County","IA",19
"872","Mitchell County","IA",19
"873","Monona County","IA",19
"874","Monroe County","IA",19
"875","Montgomery County","IA",19
"876","Muscatine County","IA",19
"877","O'Brien County","IA",19
"878","Osceola County","IA",19
"879","Page County","IA",19
"880","Palo Alto County","IA",19
"881","Plymouth County","IA",19
"882","Pocahontas County","IA",19
"883","Polk County","IA",19
"884","Pottawattamie County","IA",19
"885","Poweshiek County","IA",19
"886","Ringgold County","IA",19
"887","Sac County","IA",19
"888","Scott County","IA",19
"889","Shelby County","IA",19
"890","Sioux County","IA",19
"891","Story County","IA",19
"892","Tama County","IA",19
"893","Taylor County","IA",19
"894","Union County","IA",19
"895","Van Buren County","IA",19
"896","Wapello County","IA",19
"897","Warren County","IA",19
"898","Washington County","IA",19
"899","Wayne County","IA",19
"900","Webster County","IA",19
"901","Winnebago County","IA",19
"902","Winneshiek County","IA",19
"903","Woodbury County","IA",19
"904","Worth County","IA",19
"905","Wright County","IA",19
"906","Statewide Unallocated","KS",20
"907","Allen County","KS",20
"908","Anderson County","KS",20
"909","Atchison County","KS",20
"910","Barber County","KS",20
"911","Barton County","KS",20
"912","Bourbon County","KS",20
"913","Brown County","KS",20
"914","Butler County","KS",20
"915","Chase County","KS",20
"916","Chautauqua County","KS",20
"917","Cherokee County","KS",20
"918","Cheyenne County","KS",20
"919","Clark County","KS",20
"920","Clay County","KS",20
"921","Cloud County","KS",20
"922","Coffey County","KS",20
"923","Comanche County","KS",20
"924","Cowley County","KS",20
"925","Crawford County","KS",20
"926","Decatur County","KS",20
"927","Dickinson County","KS",20
"928","Doniphan County","KS",20
"929","Douglas County","KS",20
"930","Edwards County","KS",20
"931","Elk County","KS",20
"932","Ellis County","KS",20
"933","Ellsworth County","KS",20
"934","Finney County","KS",20
"935","Ford County","KS",20
"936","Franklin County","KS",20
"937","Geary County","KS",20
"938","Gove County","KS",20
"939","Graham County","KS",20
"940","Grant County","KS",20
"941","Gray County","KS",20
"942","Greeley County","KS",20
"943","Greenwood County","KS",20
"944","Hamilton County","KS",20
"945","Harper County","KS",20
"946","Harvey County","KS",20
"947","Haskell County","KS",20
"948","Hodgeman County","KS",20
"949","Jackson County","KS",20
"950","Jefferson County","KS",20
"951","Jewell County","KS",20
"952","Johnson County","KS",20
"953","Kearny County","KS",20
"954","Kingman County","KS",20
"955","Kiowa County","KS",20
"956","Labette County","KS",20
"957","Lane County","KS",20
"958","Leavenworth County","KS",20
"959","Lincoln County","KS",20
"960","Linn County","KS",20
"961","Logan County","KS",20
"962","Lyon County","KS",20
"963","McPherson County","KS",20
"964","Marion County","KS",20
"965","Marshall County","KS",20
"966","Meade County","KS",20
"967","Miami County","KS",20
"968","Mitchell County","KS",20
"969","Montgomery County","KS",20
"970","Morris County","KS",20
"971","Morton County","KS",20
"972","Nemaha County","KS",20
"973","Neosho County","KS",20
"974","Ness County","KS",20
"975","Norton County","KS",20
"976","Osage County","KS",20
"977","Osborne County","KS",20
"978","Ottawa County","KS",20
